date,campaign_id,campaign_name,ad_set_id,ad_set_name,ad_id,ad_name,objective,impressions,reach,clicks,ctr,cpc,spend,conversions,conversion_value,cost_per_conversion,roas
2024-01-01,2001,Summer_Collection_FB,20011,Women's Dresses,200111,Summer Dress Carousel,CONVERSIONS,3456,2345,187,0.0541,0.85,158.95,7,490.00,22.71,3.08
2024-01-01,2001,Summer_Collection_FB,20012,Men's Shirts,200121,Summer Shirt Static,CONVERSIONS,2876,1987,132,0.0459,0.85,112.20,4,280.00,28.05,2.50
2024-01-01,2002,Winter_Sale_FB,20021,Winter Coats,200211,Winter Coat Video,CONVERSIONS,2345,1654,98,0.0418,0.90,88.20,3,240.00,29.40,2.72
2024-01-01,2003,Everyday_Basics_FB,20031,Basic Tees,200311,Basic Tee Collection,CONVERSIONS,1987,1432,76,0.0382,0.80,60.80,2,100.00,30.40,1.64
2024-01-02,2001,Summer_Collection_FB,20011,Women's Dresses,200111,Summer Dress Carousel,CONVERSIONS,3654,2456,201,0.0550,0.85,170.85,9,630.00,18.98,3.69
2024-01-02,2001,Summer_Collection_FB,20012,Men's Shirts,200121,Summer Shirt Static,CONVERSIONS,3012,2134,145,0.0481,0.85,123.25,5,350.00,24.65,2.84
2024-01-02,2002,Winter_Sale_FB,20021,Winter Coats,200211,Winter Coat Video,CONVERSIONS,2456,1765,112,0.0456,0.90,100.80,4,320.00,25.20,3.17
2024-01-02,2003,Everyday_Basics_FB,20031,Basic Tees,200311,Basic Tee Collection,CONVERSIONS,2134,1567,89,0.0417,0.80,71.20,3,150.00,23.73,2.11
2024-01-03,2001,Summer_Collection_FB,20011,Women's Dresses,200111,Summer Dress Carousel,CONVERSIONS,3876,2567,223,0.0575,0.85,189.55,11,770.00,17.23,4.06
2024-01-03,2001,Summer_Collection_FB,20012,Men's Shirts,200121,Summer Shirt Static,CONVERSIONS,3245,2245,156,0.0481,0.85,132.60,6,420.00,22.10,3.17
2024-01-03,2002,Winter_Sale_FB,20021,Winter Coats,200211,Winter Coat Video,CONVERSIONS,2345,1654,101,0.0431,0.90,90.90,3,240.00,30.30,2.64
2024-01-03,2003,Everyday_Basics_FB,20031,Basic Tees,200311,Basic Tee Collection,CONVERSIONS,2345,1765,98,0.0418,0.80,78.40,4,200.00,19.60,2.55
2024-01-04,2001,Summer_Collection_FB,20011,Women's Dresses,200111,Summer Dress Carousel,CONVERSIONS,4123,2789,245,0.0594,0.85,208.25,14,980.00,14.88,4.71
2024-01-04,2001,Summer_Collection_FB,20012,Men's Shirts,200121,Summer Shirt Static,CONVERSIONS,3456,2345,143,0.0414,0.85,121.55,5,350.00,24.31,2.88
2024-01-04,2002,Winter_Sale_FB,20021,Winter Coats,200211,Winter Coat Video,CONVERSIONS,2134,1543,87,0.0408,0.90,78.30,2,160.00,39.15,2.04
2024-01-04,2003,Everyday_Basics_FB,20031,Basic Tees,200311,Basic Tee Collection,CONVERSIONS,2567,1876,112,0.0436,0.80,89.60,5,250.00,17.92,2.79
2024-01-05,2001,Summer_Collection_FB,20011,Women's Dresses,200111,Summer Dress Carousel,CONVERSIONS,4345,2987,267,0.0615,0.85,226.95,17,1190.00,13.35,5.24
2024-01-05,2001,Summer_Collection_FB,20012,Men's Shirts,200121,Summer Shirt Static,CONVERSIONS,3678,2456,167,0.0454,0.85,141.95,7,490.00,20.28,3.45
2024-01-05,2002,Winter_Sale_FB,20021,Winter Coats,200211,Winter Coat Video,CONVERSIONS,1987,1432,76,0.0382,0.90,68.40,1,80.00,68.40,1.17
2024-01-05,2003,Everyday_Basics_FB,20031,Basic Tees,200311,Basic Tee Collection,CONVERSIONS,2789,1987,132,0.0473,0.80,105.60,6,300.00,17.60,2.84
2024-01-06,2004,Spring_Preview_FB,20041,Spring Dresses,200411,Spring Dress Collection,CONVERSIONS,3245,2345,156,0.0481,0.85,132.60,6,420.00,22.10,3.17
2024-01-06,2004,Spring_Preview_FB,20042,Spring Accessories,200421,Spring Accessories Carousel,CONVERSIONS,2567,1876,112,0.0436,0.85,95.20,3,240.00,31.73,2.52
2024-01-06,2005,Valentine_Special_FB,20051,Gift Sets,200511,Valentine Gift Video,CONVERSIONS,3456,2456,198,0.0573,0.90,178.20,8,640.00,22.28,3.59
2024-01-06,2005,Valentine_Special_FB,20052,Jewelry,200521,Valentine Jewelry Collection,CONVERSIONS,2987,2134,143,0.0479,0.80,114.40,5,400.00,22.88,3.50
2024-01-07,2004,Spring_Preview_FB,20041,Spring Dresses,200411,Spring Dress Collection,CONVERSIONS,3456,2456,176,0.0509,0.85,149.60,8,560.00,18.70,3.74
2024-01-07,2004,Spring_Preview_FB,20042,Spring Accessories,200421,Spring Accessories Carousel,CONVERSIONS,2789,1987,132,0.0473,0.85,112.20,4,320.00,28.05,2.85
2024-01-07,2005,Valentine_Special_FB,20051,Gift Sets,200511,Valentine Gift Video,CONVERSIONS,3789,2678,223,0.0589,0.90,200.70,10,800.00,20.07,3.99
2024-01-07,2005,Valentine_Special_FB,20052,Jewelry,200521,Valentine Jewelry Collection,CONVERSIONS,3245,2345,167,0.0515,0.80,133.60,7,560.00,19.09,4.19
